incident_id,timestamp,service,region,severity,error_rate,latency_ms,cpu_util,mem_util,num_alerts,deploy_recent,log_message,risk_label
INC-10000,2026-01-01T00:00:00,PAYMENTS,us-west-2,P3,0.068,165,0.172,0.761,4,True,  connection timeout to upstream  ,low
INC-10001,2026-01-01T00:07:00,search,us-east-1,P4,0.313,251,0.557,0.494,1,True,  5xx spike from dependency  ,medium
INC-10002,2026-01-01T00:14:00,gateway,eu-west-1,P3,0.287,275,0.576,0.664,2,True,  latency SLO breach  ,medium
INC-10003,2026-01-01T00:21:00,search,us-east-1,P2,0.262,326,0.5,0.852,1,True,  OOMKilled pod restart  ,medium
INC-10004,2026-01-01T00:28:00,auth-api,eu-west-1,P3,0.225,333,0.42,0.461,6,True,  rate limit exceeded  ,medium
INC-10005,2026-01-01T00:35:00,payments,us-west-2,P4,0.449,571,0.405,0.547,0,False,  healthcheck failing  ,low
INC-10006,2026-01-01T00:42:00,billing,us-east-1,P1,0.056,320,0.584,0.159,7,False,  5xx spike from dependency  ,medium
INC-10007,2026-01-01T00:49:00,auth-api,eu-west-1,P2,0.379,117,0.941,0.495,2,True,  latency SLO breach  ,high
INC-10008,2026-01-01T00:56:00,search,us-west-2,P2,0.34,621,0.551,1.0,3,False,  connection timeout to upstream  ,medium
INC-10009,2026-01-01T01:03:00,billing,us-west-2,P1,0.577,723,0.664,0.565,0,False,  database connection pool exhausted  ,medium
INC-10010,2026-01-01T01:10:00,auth-api,us-west-2,P3,0.467,714,0.583,0.582,2,False,  5xx spike from dependency  ,medium
INC-10011,2026-01-01T01:17:00,PAYMENTS,us-east-1,P1,0.24,122,0.789,0.508,0,False,  5xx spike from dependency  ,medium
INC-10012,2026-01-01T01:24:00,billing,ap-south-1,P3,0.186,774,0.67,0.627,2,True,  OOMKilled pod restart  ,medium
INC-10013,2026-01-01T01:31:00,notifications,us-east-1,P2,0.041,495,0.898,0.444,4,True,  OOMKilled pod restart  ,medium
INC-10014,2026-01-01T01:38:00,auth-api,us-east-1,P3,0.483,718,0.543,0.579,1,True,  TLS handshake failure  ,medium
INC-10015,2026-01-01T01:45:00,notifications,eu-west-1,P3,0.118,516,0.857,0.859,3,False,  database connection pool exhausted  ,medium
INC-10016,2026-01-01T01:52:00,billing,us-east-1,P2,0.44,332,0.716,0.601,2,False,  5xx spike from dependency  ,medium
INC-10017,2026-01-01T01:59:00,billing,us-east-1,P2,0.289,330,0.318,0.685,1,False,  database connection pool exhausted  ,medium
INC-10018,2026-01-01T02:06:00,gateway,eu-west-1,P4,0.139,393,0.434,0.575,4,True,  healthcheck failing  ,medium
INC-10019,2026-01-01T02:13:00,billing,us-east-1,P1,0.605,946,0.93,0.968,4,False,  5xx spike from dependency  ,high
INC-10020,2026-01-01T02:20:00,auth-api,eu-west-1,P1,0.547,277,0.494,0.708,4,False,  latency SLO breach  ,medium
INC-10021,2026-01-01T02:27:00,notifications,us-west-2,P3,0.443,62,0.641,0.766,4,False,  database connection pool exhausted  ,medium
INC-10022,2026-01-01T02:34:00,PAYMENTS,us-east-1,P2,0.656,574,,0.404,6,False,  latency SLO breach  ,high
INC-10023,2026-01-01T02:41:00,billing,eu-west-1,P1,0.445,520,0.65,0.466,7,True,  connection timeout to upstream  ,high
INC-10024,2026-01-01T02:48:00,auth-api,us-west-2,P2,0.308,154,0.536,0.478,2,False,  TLS handshake failure  ,low
INC-10025,2026-01-01T02:55:00,payments,ap-south-1,P4,0.506,655,0.254,0.588,1,False,  rate limit exceeded  ,medium
INC-10026,2026-01-01T03:02:00,gateway,us-west-2,P3,0.213,242,0.365,0.483,3,False,  5xx spike from dependency  ,low
INC-10027,2026-01-01T03:09:00,auth-api,ap-south-1,P3,0.138,760,0.589,0.505,8,False,  rate limit exceeded  ,medium
INC-10028,2026-01-01T03:16:00,notifications,us-west-2,P4,0.358,628,0.794,0.879,0,False,  OOMKilled pod restart  ,medium
INC-10029,2026-01-01T03:23:00,notifications,ap-south-1,P3,0.469,36,0.31,0.649,1,False,  healthcheck failing  ,low
INC-10030,2026-01-01T03:30:00,auth-api,eu-west-1,P4,0.512,123,0.291,0.35,2,True,  latency SLO breach  ,medium
INC-10031,2026-01-01T03:37:00,notifications,ap-south-1,P3,0.096,617,0.738,0.672,1,True,  connection timeout to upstream  ,medium
INC-10032,2026-01-01T03:44:00,payments,ap-south-1,P4,0.353,649,0.49,0.596,0,False,  latency SLO breach  ,low
